name,description,2023-2024 o. budget,change,2024-2025 adopted budget
Academy of Sciences,A science museum — and scientific and educational institution — located in San Francisco's Golden Gate Park.,"$7,460,485",2.658232005023802,"$7,658,802"
Adult Probation,Aims to rehabilitate adult offenders to promote community safety and reduce recidivism.,"$58,116,740",5.989561699434621,"$61,597,678"
Airport Commission,SFO is the Bay Area’s largest airport by passenger volume. The Commission sets its policies.,"$1,305,429,570",53.49449560882859,"$2,003,762,534"
Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes innovative cultural policy.","$42,741,948",-30.01885875674174,"$29,911,303"
Asian Art Museum,"The museum celebrates, preserves, and promotes Asian and Asian American art and cultures.","$11,412,118",3.5259712526631777,"$11,814,506"
Assessor - Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.","$37,177,891",6.815335490654917,"$39,711,689"
Board of Appeals,Provides a final administrative review process for appeals on a range of City determinations.,"$1,143,037",4.86292219761915,"$1,198,622"
Board of Supervisors,"The legislative branch of San Francisco’s government. It adopts legislation, establishes policies, and assists constituents.","$23,606,605",0.022569954468251576,"$23,611,933"
Building Inspection,Oversees the enforcement of various building codes and Disability Access Regulations.,"$86,103,574",2.5984775033844705,"$88,340,956"
"Children, Youth & Families",Aims to improve the city for children by investing in youth and their families.,"$342,170,691",2.123047119778006,"$349,435,136"
Child Support Services,Aims to ensure the financial support and well-being of children through child support orders and non-cash alternatives.,"$13,666,530",-2.7444567128598116,"$13,291,458"
City Attorney,"Provides legal services to the Mayor’s Office, the Board of Supervisors, elected City officials, and all the city’s departments, boards, and commissions.","$108,739,568",8.25500336731152,"$117,716,023"
City Planning,"Aims to guide and regulate land use, urban design, and development to make San Francisco the world’s most livable urban place.","$58,697,834",-6.197075346936993,"$55,060,285"
Civil Service Commission,Aims to make sure the city employs the best-qualified candidates for public service in a timely and efficient manner.,"$1,511,609",0.8631861810825419,"$1,524,657"
Controller,"Aims to ensure the City’s financial integrity through audits and oversight, promoting effective and accountable government.","$83,981,973",5.733588802444543,"$88,797,154"
Police Accountability,"Aims to hold the police accountable to civilian oversight through investigations, policy recommendations, and performance audits.","$9,970,353",0.6743893621419422,"$10,037,592"
Dept of Early Childhood,"Helps parents and guardians with child care, parenting support, and child development.","$345,483,726",-2.5538010435837433,"$336,660,759"
District Attorney,"Aims to prosecute suspects, support victims of crime, and develop alternatives to incarceration.","$89,560,041",4.495893430866116,"$93,586,565"
Economic & Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.","$158,081,988",-11.04422029409195,"$140,623,065"
Elections,"Aims to provide equitable access to election services and voting, and to conduct free and fair elections.","$22,942,949",11.895532697213422,"$25,672,135"
Emergency Management,"Leads in planning, preparedness, communication, response, and recovery for daily emergencies, citywide events, and major disasters.","$138,774,182",1.3324906501700726,"$140,623,335"
Environment,"Provides support for urban agriculture, forestry, green buildings, and other environmental projects.","$32,317,937",41.43473638184269,"$45,708,789"
Ethics Commission,"Investigates and punishes wrongdoing in the city, and collects and reports electoral data.","$7,537,872",89.51146955002686,"$14,285,132"
Fine Arts Museum,Aims to connect visitors with art to stimulate creativity and share knowledge and ideas.,"$23,247,361",2.332367962109764,"$23,789,575"
Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.","$511,284,481",3.812236968718008,"$530,775,857"
General City - Unallocated,"General City Responsibility Expenditures not directly attributable to one City department, such as reserve deposits and debt service.","$1,830,274,079",-9.495101471084103,"$1,656,487,698"
GSA - City Administrator,"A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.","$596,531,211",3.413848701371637,"$616,895,884"
GSA - Technology,"A broad array of departments, divisions, programs, and offices with the aim of improving city tech.","$166,313,253",1.3482767966783742,"$168,555,616"
Health Service System,"Aims to preserve and improve health benefits and to enhance the well-being of employees, retirees, and their families.","$13,862,082",-8.512292742172496,"$12,682,101"
Homelessness Services,"Aims to make homelessness rare, brief, and one-time through services like housing and mental health support.","$713,292,581",18.650293518193763,"$846,323,741"
Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.","$150,759,857",3.921849037041737,"$156,672,431"
Human Rights Commission,"Advocates for human and civil rights, and uses anti-discrimination laws to further racial solidarity and equity.","$21,523,406",107.91943895868525,"$44,751,345"
Human Services Agency,"Delivers services to support communities including food distribution, children's programs, and a disability community center.","$1,191,048,628",3.37558862458133,"$1,231,253,530"
Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.","$48,967,777",-4.776271546899097,"$46,628,943"
Law Library,Provides free legal information resources and services to help residents understand the law and protect their legal rights.,"$1,794,860",-28.333184760928432,"$1,286,319"
Mayor,The executive branch of San Francisco's government. Has a broad remit for enacting programs and setting policy direction.,"$201,045,952",3.232082484306871,"$207,543,923"
Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.","$1,472,760,301",3.3276129840493303,"$1,521,768,064"
Police,"Aims to prevent and investigate crimes, ensure public safety, and maintain respect for all.","$774,911,711",6.18448015686267,"$822,835,972"
Port,"Aims to advance sustainable maritime, recreational, and economic opportunities via the port.","$150,125,276",4.237342417941666,"$156,486,598"
Public Defender,Offers free legal representation and advocates for systemic changes to benefit the disenfranchised and disempowered.,"$52,610,099",7.770525198973679,"$56,698,180"
Public Health,"Aims to protect and promote health through hospital funding, housing programs, mental health investment, and more.","$3,190,092,002",1.3095931394394937,"$3,231,869,228"
Public Library,Provides free and equal access to books and digital services throughout the city.,"$200,254,962",-6.363224597650668,"$187,512,289"
Public Utilities Commission,"Provides reliable water, power, and wastewater services to the city.","$1,788,497,463",13.16778462771574,"$2,024,002,957"
Public Works,"Builds and maintains city infrastructure, such as streets and sidewalks.","$453,229,178",-0.06095503409976839,"$452,952,912"
Recreation & Park Commission,"Provides the city's parks, playgrounds, and open spaces, as well as enriching recreational activities.","$263,100,390",-3.1270493365669276,"$254,873,111"
Rent Arbitration Board,"Aims to protect tenants from excessive rent increases and unjust evictions, while assuring landlords fair rents.","$17,725,223",-22.075152453653192,"$13,812,353"
Retirement System,Works to secure and prudently invest the city's pension trust accounts and provide promised benefits.,"$51,469,503",6.519035165348304,"$54,824,818"
Sheriff Department Office Inspector General,Provides independent civilian oversight of the Sheriff's Office.,"$1,756,728",-25.796196110040942,"$1,303,559"
Sheriff,"Operates jails and alternative sentencing programs, guards courthouses, and executes warrants.","$291,014,602",11.017326202758719,"$323,076,630"
Status of Women,"Aims to make the city fully gender equitable through policies, programs, and legislation.","$13,966,542",-14.726200658688457,"$11,909,801"
